id,gender,age,major,gpa,SoloFounder,UniversityInCity,HasMentor,Perseverance,DesireToTakeInitiative,Competitiveness,SelfReliance,StrongNeedToAchieve,SelfConfidence,GoodPhysicalHealth,StartedBusiness
1,Polygender,17,Social Sciences,3,Yes,No,Yes,5,5,3,5,5,3,2,Yes
2,Bigender,17,Business,2.05,No,No,Yes,5,2,5,5,5,5,5,No
3,Male,21,Social Sciences,2.54,No,No,Yes,4,4,3,3,4,5,4,Yes
4,Female,21,History,2.06,No,No,Yes,3,1,3,3,2,5,4,No
5,Male,23,Business,2.23,No,Yes,Yes,4,2,2,3,4,1,1,No
6,Female,20,Communications,3.23,No,Yes,Yes,2,3,4,1,3,5,1,Yes
7,Female,19,Communications,3.32,No,Yes,Yes,1,5,5,4,1,3,1,No
8,Female,22,Social Sciences,2.33,No,Yes,Yes,5,2,5,3,4,5,5,No
9,Male,22,Engineering,2.59,Yes,No,No,4,3,3,5,4,1,3,No
10,Male,20,Social Sciences,2.6,No,No,Yes,5,4,2,3,1,4,5,No
11,Female,18,Social Sciences,3.36,No,Yes,Yes,3,2,3,1,2,5,5,No
12,Agender,19,Arts,2.55,Yes,Yes,Yes,5,4,4,5,5,4,3,Yes
13,Female,20,Business,2.69,No,Yes,No,4,4,1,5,4,5,2,Yes
14,Female,23,Social Sciences,2.6,No,Yes,Yes,4,3,5,2,4,2,4,No
15,Male,22,Communications,3.93,No,No,Yes,4,3,5,1,4,3,4,No
16,Male,20,Information Systems,2.92,No,Yes,Yes,4,2,1,1,2,4,3,No
17,Male,23,Business,3.38,No,Yes,Yes,4,3,5,1,4,1,4,No
18,Female,19,History,2.66,Yes,Yes,No,4,5,2,3,2,4,1,No
19,Male,21,History,3.31,No,No,No,4,1,1,3,2,5,3,No
20,Male,19,Social Sciences,3.76,Yes,Yes,Yes,4,4,3,4,4,5,1,No
21,Male,19,Arts,3.8,No,No,No,5,4,1,2,2,1,3,No
22,Female,19,History,3.95,No,Yes,Yes,4,3,1,2,5,2,2,No
23,Female,20,Language,3.9,Yes,Yes,No,5,4,2,3,4,3,4,No
24,Female,19,Life Sciences,3.32,No,No,Yes,2,1,2,1,4,5,4,Yes
25,Female,17,Communications,3.08,No,Yes,Yes,4,2,5,3,2,3,3,Yes
26,Female,22,Business,3.18,No,Yes,Yes,1,1,1,1,2,4,4,No
27,Male,20,Information Systems,2.03,No,No,Yes,4,1,5,5,1,4,1,No
28,Female,19,Business,2.95,Yes,Yes,No,4,5,4,4,2,2,5,No
29,Male,22,Business,1.98,No,Yes,No,4,3,3,5,4,3,2,No
30,Female,23,Communications,3.8,Yes,Yes,Yes,3,1,1,3,5,3,4,No
31,Male,18,Life Sciences,2.17,No,Yes,Yes,1,2,5,4,2,1,5,No
32,Agender,17,History,1.82,No,No,No,5,2,2,1,2,2,4,No
33,Female,17,Social Sciences,3.14,No,No,Yes,4,2,2,3,4,1,4,No
34,Female,18,History,3.08,No,Yes,Yes,4,4,5,4,4,4,4,No
35,Male,20,Life Sciences,2.86,No,Yes,Yes,5,3,4,1,4,4,2,No
36,Non-binary,18,Life Sciences,2.21,No,Yes,Yes,3,2,4,1,5,3,1,No
37,Female,21,Social Sciences,2.77,No,No,Yes,4,4,1,5,4,2,1,Yes
38,Male,18,Engineering,3.5,No,Yes,Yes,2,5,4,3,2,5,3,No
39,Male,23,Business,3.23,No,Yes,Yes,5,2,4,1,2,1,1,No
40,Male,20,Business,3.71,Yes,Yes,Yes,2,1,1,4,4,3,1,Yes
41,Male,22,Information Systems,3.67,,Yes,Yes,4,3,2,2,4,4,4,No
42,Female,17,History,3.44,No,Yes,Yes,4,5,3,4,4,1,2,No
43,Genderqueer,19,Life Sciences,2.19,No,No,Yes,5,1,2,4,2,1,4,No
44,Male,20,Social Sciences,2.07,No,Yes,No,2,1,1,1,5,1,2,Yes
45,Female,23,History,3.63,,Yes,No,5,4,4,3,2,4,4,No
46,Male,17,Arts,1.89,No,Yes,Yes,5,2,1,1,2,2,2,No
47,Male,19,Social Sciences,3.6,No,Yes,Yes,4,1,2,1,4,4,4,No
48,Male,19,Communications,3.42,Yes,Yes,No,5,1,3,2,3,5,2,Yes
49,Male,23,Communications,3.69,No,Yes,Yes,2,2,5,3,1,2,2,No
50,Female,20,Arts,2.79,No,No,,2,3,3,3,1,5,1,No
51,Polygender,17,Life Sciences,1.94,No,Yes,Yes,4,2,1,4,4,1,1,No
52,Female,18,Information Systems,3.68,Yes,No,Yes,4,4,2,1,5,3,4,Yes
53,Male,22,Business,3.82,Yes,Yes,No,5,4,4,2,1,1,3,No
54,Male,23,Business,2.26,No,No,Yes,3,5,2,3,5,2,3,No
55,Male,21,Social Sciences,3,No,Yes,Yes,2,3,1,5,4,1,1,No
56,Male,17,Social Sciences,3.41,Yes,Yes,No,5,2,1,1,5,4,3,Yes
57,Female,21,Communications,1.95,No,No,Yes,5,5,4,3,4,5,5,No
58,Female,20,Information Systems,3.51,No,Yes,Yes,5,4,4,4,5,2,1,No
59,Male,19,Social Sciences,2.39,No,No,Yes,5,4,5,5,1,1,5,Yes
60,Male,18,Communications,3.69,No,Yes,Yes,2,3,2,2,4,1,2,Yes
61,Male,17,Life Sciences,3.07,No,Yes,Yes,1,4,4,1,1,1,3,No
62,Female,19,Language,3.97,No,Yes,Yes,4,1,5,2,4,1,1,No
63,Polygender,23,History,2.48,No,Yes,Yes,4,2,1,1,2,4,3,No
64,Male,17,Arts,2.75,No,Yes,Yes,5,1,1,2,4,2,1,No
65,Female,18,Arts,2.97,No,Yes,No,4,2,4,1,1,4,1,No
66,Male,23,Social Sciences,2.48,Yes,Yes,Yes,2,4,5,2,2,4,1,No
67,Female,23,Life Sciences,2.23,Yes,Yes,Yes,4,5,5,3,3,5,2,No
68,Female,21,Arts,3.73,Yes,Yes,Yes,1,3,5,2,5,1,1,No
69,Female,22,Social Sciences,2.75,No,Yes,Yes,4,4,3,5,4,5,2,No
70,Bigender,20,Information Systems,3.34,No,Yes,Yes,5,5,4,5,1,2,3,No
71,Female,23,Engineering,3.41,No,Yes,Yes,2,3,2,5,3,1,2,No
72,Male,18,Business,3.71,No,Yes,Yes,5,4,3,5,4,1,1,No
